layer,bits,group_size,numel,mse,nmse,max_abs_error,mean_scale
model.layers.0.self_attn.q_proj,4,128,2097152,1.5146516489039641e-05,0.015419825721981464,0.0456194207072258,0.01258853916078806
model.layers.0.self_attn.k_proj,4,128,1048576,1.3406332072918303e-05,0.014286924942959373,0.0304478220641613,0.012054992839694023
model.layers.0.self_attn.v_proj,4,128,1048576,1.0335187653254252e-05,0.014575019440098884,0.0122767873108387,0.010978971607983112
model.layers.0.self_attn.o_proj,4,128,2097152,9.335660251963418e-06,0.014019150805842286,0.02978515625,0.00995991937816143
model.layers.0.mlp.gate_proj,4,128,3145728,1.9183560652891174e-05,0.014297935020765063,0.02734375,0.014669560827314854
model.layers.0.mlp.up_proj,4,128,3145728,9.729528149667507e-06,0.014554746037917753,0.0264892578125,0.010680300183594227
model.layers.0.mlp.down_proj,4,128,3145728,1.0583198066645613e-05,0.015370381000140444,0.0295758917927742,0.011071547865867615
model.layers.1.self_attn.q_proj,4,128,2097152,1.3812608813168481e-05,0.014621083603318466,0.04541015625,0.011911377310752869
model.layers.1.self_attn.k_proj,4,128,1048576,1.22188612294849e-05,0.014575433358868769,0.0253034308552742,0.011413360945880413
model.layers.1.self_attn.v_proj,4,128,1048576,1.162092939921422e-05,0.01438263189689311,0.01427350752055645,0.011657655239105225
model.layers.1.self_attn.o_proj,4,128,2097152,1.0222714990959503e-05,0.014213856662253659,0.020263671875,0.01075008325278759
model.layers.1.mlp.gate_proj,4,128,3145728,2.6628566653622936e-05,0.013898848298976698,0.0309709832072258,0.017402639612555504
model.layers.1.mlp.up_proj,4,128,3145728,7.912313473449709e-06,0.01447409732267331,0.0210135318338871,0.009497401304543018
model.layers.1.mlp.down_proj,4,128,3145728,8.483670778029287e-06,0.016378934669095332,0.0265938900411129,0.009889272972941399
model.layers.2.self_attn.q_proj,4,128,2097152,1.3501312423613854e-05,0.014946752895726273,0.0365513414144516,0.011745762079954147
model.layers.2.self_attn.k_proj,4,128,1048576,1.136542960011866e-05,0.014438831576735934,0.0181536003947258,0.010947000235319138
model.layers.2.self_attn.v_proj,4,128,1048576,1.1295795047772117e-05,0.014511091573334745,0.01297433115541935,0.011345252394676208
model.layers.2.self_attn.o_proj,4,128,2097152,9.443762792216148e-06,0.014259659205866476,0.022321432828903198,0.010252747684717178
model.layers.2.mlp.gate_proj,4,128,3145728,2.2338242464077968e-05,0.014147919298885139,0.0289829783141613,0.01584181748330593
